,event_type,roll,passed,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,batter_coldness,batter_overpowerment,batter_ruthlessness,batter_shakespearianism,batter_suppression,batter_unthwackability,batter_base_thirst,batter_continuation,batter_ground_friction,batter_indulgence,batter_laserlikeness,batter_anticapitalism,batter_chasiness,batter_omniscience,batter_tenaciousness,batter_watchfulness,batter_pressurization,batter_cinnamon,batter_multiplier,pitcher_buoyancy,pitcher_divinity,pitcher_martyrdom,pitcher_moxie,pitcher_musclitude,pitcher_patheticism,pitcher_thwackability,pitcher_tragicness,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_base_thirst,pitcher_continuation,pitcher_ground_friction,pitcher_indulgence,pitcher_laserlikeness,pitcher_anticapitalism,pitcher_chasiness,pitcher_omniscience,pitcher_tenaciousness,pitcher_watchfulness,pitcher_pressurization,pitcher_cinnamon,pitcher_multiplier,fielder_anticapitalism,fielder_chasiness,fielder_omniscience,fielder_tenaciousness,fielder_watchfulness,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,ballpark_filthiness,what1,what2,batting_team_hype,pitching_team_hype,batter_name,pitcher_name,fielder_name,batter_vibes,batter_vibes_multiplied,pitcher_vibes,pitcher_vibes_multiplied,fielder_vibes,batter_mods,batting_team_mods,pitcher_mods,pitching_team_mods,fielder_mods,game_id,stadium_id,play_count,weather,ball_count,strike_count,out_count,season,day,top_of_inning,home_score,away_score,inning,batting_team_roster_size,pitching_team_roster_size,baserunner_count,is_strike,strike_roll,strike_threshold,fielder_roll
0,Out,0.026525722395214002,False,0.7401227822770642,1.1110763061985243,1.1121431345842319,1.1810961972526275,0.6981591933793462,0.36785762654537807,0.635642067807618,0.001,1.114621300055189,0.8394350817934891,0.3110796042107901,0.914036733163792,0.7198654330502127,0.44008905364585815,0.8089628069996134,0.7268270176336603,0.3374559776171342,0.43801575218927397,0.9386069756962108,0.6258610867630567,0.6562260772344012,0.6732758063070725,0.5092427027480113,0.591639721227575,0.8299376824717601,0.7876833947803514,1.0,1.1552823240864345,1.0108591485643532,1.2697993820805185,0.5916338116888625,0.6238719374527941,0.5265680259463004,0.7850486172708355,0.001,1.1312704641092826,0.9094413053561573,0.5564936587517776,1.3067158185789418,0.9375770645568416,1.0369509947228985,0.8046304802263591,1.096310904599184,1.2833181958492814,1.047046611983204,0.511678539607179,0.36288611594808295,0.4290489872007347,0.4480957171596029,0.800663807761201,0.6551219300933132,0.4704999159830534,0.4220673574654016,1.0,0.2015307642533676,0.21784892983798318,0.27063455135869935,0.20895690074295775,0.2669837819416551,0.5972893620004125,0.24014406844576902,0.5888660772611276,0.4066192189800766,0.5052602094603736,0.5441491334505063,0.5180715700940073,0.7884468986774216,0.5757445655057053,0.09475761260271934,0.5753448396602936,0.8691160281250456,0,0,Yusef Fenestrate,Mummy Melcon,,-0.8064351181726306,-0.8064351181726306,0.053280060980906235,0.053280060980906235,0,,POPCORN_PAYOUTS,,FIREPROOF;SEALANT;AMBUSH,,6173c3f5-f244-405d-b9a3-62fe8c48e656,929fc650-948a-4736-b7a2-bb7b75902e6e,233,10,0,0,1,14,32,True,4.0,6.0,7,15,12,['adcbc290-81c5-4da9-b4da-2e594b080710'],True,0.03039544694898022,0.6992779427087592,
1,FC,0.6924818069810121,True,0.6127232193783827,1.4106228326380195,1.2494088345390049,1.2956473977629537,0.5617521650532572,0.001,0.8875606176233046,0.001,0.48441250275526065,0.24828564288163904,1.0466437236319936,0.9910078002897389,0.3501206014763064,0.46782881941468385,1.1080153880611476,0.8154582236934406,0.4155403301784324,0.6635413962854593,0.6722718143945944,0.6962092063589626,0.7005422797876506,0.4689681262876888,0.7207007599619293,0.38510720068988674,0.42354982034142297,0.9783318970732202,1.0,0.004519484883481528,0.21386321635098127,0.48486515312418055,0.3100578326794303,0.4872449661423037,0.32211734003390013,0.7886610131223721,0.1,1.01153451137658,0.5761341547372345,0.6278728878188653,0.33400464507577116,0.9484000750746602,0.4045036386480824,0.09170296981671755,0.7512639141646686,0.6340117064157693,0.061082533443199916,0.09808862921947448,0.9323407326733681,0.785567598107856,0.44120304714113917,0.4947692436768551,0.08601742005839583,0.2517222291153789,0.509330235414708,1.0,0.19498153514744085,0.32287430153116226,0.3093579886576049,0.2537184038850072,0.1792138892380159,0.7141843245347669,0.49271620736928706,0.7456745657603384,0.4716485618092032,0.47180011247810416,0.43277112562358416,0.49139630966357717,0.4087364786522717,0.5625529469691449,0.10916919027364423,0.05402484008023123,0.2634917683184044,0,0,Ve--alius Sund-e,Emmett Tabby,,-0.07307939098776217,-0.07307939098776217,-0.0614591129828565,-0.0614591129828565,0,SCATTERED,BOTTOM_DWELLER;BLACKHOLE_PAYOUTS,,,,942ea949-3aa8-4050-8860-08eb8eaa50e0,43fbdf41-336f-46a8-9445-eb8a6e05d811,243,18,0,0,1,14,32,True,1.0,1.0,7,14,15,['bbf9543f-f100-445a-a467-81d7aab12236'],True,0.037220304708171614,0.6391982373925836,
2,Out,0.8098196945686102,False,1.1033478860858823,1.2537835457083217,1.5554992828694776,1.3423061838893344,1.6820183184176243,0.001,1.087321858307831,0.019991847233809465,0.4113636155111186,1.1755463621015931,0.98818157217076,0.6275249456625132,0.9431455145243433,0.878881723660169,0.6019468737493779,1.2913144257965592,1.3429571498830029,1.1606593350871812,0.9979683935027357,0.1859711802189167,0.10319394530337167,0.9476842254982321,0.36067271379920124,0.09544977170147555,0.3384408801738285,0.9445842418598195,1.0,0.9571878062833725,0.5560960950896914,0.48668666605491123,0.619439243626007,0.9282698187671363,0.001,0.8988893007115027,0.03851684686694329,0.6705088907630283,1.2537893066506096,0.8107407508063427,1.0955363767312258,1.2560388057311287,0.47317246167159255,0.917040335233321,0.49227744270602575,0.635001597057574,1.0724093381404114,1.060165175036673,0.4947420712856288,0.9210727755019255,0.34161088121643335,0.4867574664816339,0.8163427316683092,0.2389176666127779,0.4377843616938708,1.2,0.7113174352097725,0.43386030650653146,0.570086031259956,0.7895485751505344,0.6519932652273405,0.45142904244452936,0.3007557131332617,0.4282526514388661,0.4416985467226418,0.4797401481748086,0.4697632871152416,0.40592456021305384,0.7347539006037183,0.4818877487202903,0.0961413181708071,0.979214444132745,0.8793201327813551,0,0,Valentine Games,Mooney Doctor II,,0.7771551839434905,0.7771551839434905,0.4377843616938708,0.41937331698060787,0,EGO1,SINKING_SHIP,ALTERNATE;FRIEND_OF_CROWS,OVERPERFORMING;MIDDLING,,27f0f0da-235d-4b82-8b78-0238d8647209,21ce1233-b2d6-4bd2-8d03-68a8915afdc5,246,15,0,0,0,14,32,True,4.0,1.0,8,14,13,['21cbbfaa-100e-48c5-9cea-7118b0d08a34'],True,0.2951321943390992,0.6987788047072174,
3,FC,0.49823167628211573,True,0.5406200699178362,1.1807991219342948,0.16858471667332756,0.4711454210714642,0.6398015534975723,0.01,1.0698033534805327,0.1,0.14446542274228902,0.8606109346596857,0.9471519043793277,0.06895154667779457,0.8286498149503889,0.24151444078446405,1.1892174632016113,0.9849154430566738,0.4302120172149823,0.6255266951997311,0.2540574193725181,0.48624255620400947,0.7119728335639256,0.6755894552199392,0.8935618390727548,0.49174247815716743,0.8461832410281835,0.5453956914094988,1.0,1.0269987948598533,1.1411064324080926,0.44263611754900034,0.7336822033538852,1.016093097684383,0.08932495483239938,0.8551788470164139,0.001,0.8151037032439786,1.1511856572854078,1.0127958952821163,0.902529421808979,0.9136003609530029,0.8325477380091434,0.3915228720348669,0.798791034852443,1.150148760906093,0.9854986069195857,0.45851493009621797,0.2811078769516771,0.8078530189578786,0.683145715887461,0.7573529623889758,0.35204631841423,0.9224335434501654,0.25178317982860193,1.0,0.841805859782272,0.8977265808830811,0.8438043777292366,0.9687852316148579,0.8834317748311747,0.734028825675743,0.5315151559526681,0.7678385756888914,0.46350321501464753,0.4587333642509046,0.528370617263836,0.5325150816744646,0.48330562996753273,0.5713775790775273,0.10858896506033026,0.94932455962024,0.878490464010778,0,0,Thomas Dracaena,Blood Hamburger,,0.43494157175398007,0.43494157175398007,0.2517831798286019,0.2517831798286019,0,MAXIMALIST,BIRD_SEED,FLINCH,TRAVELING,,4163f23d-caf0-496f-b3e8-ef0ef9e0cf61,36ae955c-6264-4437-8669-3053f62992e5,246,18,0,0,1,14,32,True,1.0,2.0,7,13,16,"['f38c5d80-093f-46eb-99d6-942aa45cd921', '04931546-1b4a-469f-b391-7ed67afe824c', '16aff709-e855-47c8-8818-b9ba66e90fe8']",False,0.6823437735268385,0.6144858030398758,
4,FC,0.2885333346977197,True,0.34701936016712887,0.643906014444448,0.7198765814479803,0.7639733302969234,0.29718581250918985,0.27871534429397293,0.3314798801633789,0.051866554641316794,0.24880410993027147,0.7543561164040179,0.4223604002738942,0.3268639476635846,0.2441873429142144,0.4221393058622565,0.4599176578489552,0.7000582883526889,0.5554597088721889,0.6086399982672612,0.2461929675031581,0.5173494837775812,0.5287218097970455,0.6641067322325276,0.5093219649367813,0.062296721028795604,0.5285080130429924,0.46664367842810034,1.0,0.9087699766647277,0.3500805040557262,0.21748753513105998,1.0368581762436293,0.4234275810640375,0.2695413800364796,0.1523715454589371,0.1,0.8336162978208714,0.9383916419928165,0.6596298159357078,0.47135241194472144,0.38736861044553605,0.597048993300643,0.6249784841204321,0.1040472092162215,0.3431359379978822,0.22346151728183208,1.0175695847131343,0.455658736143051,0.8857373807990025,1.199757865416123,1.2760873409299403,0.7281836279365429,0.2971706221420969,0.9203561491059254,1.0,0.650169718555041,0.7704741344342684,0.46171224986004517,0.7548876307460473,0.670526577227944,0.5040876241199652,0.651624985250431,0.5523776668069384,0.49219519014856017,0.49517910687462113,0.4813975790750718,0.43122772504615015,0.37960731912205037,0.5965971688594097,0.09940677426159,0.7648733691049405,0.06667284622312009,0,0,Ronan Combs,Caleb Alvarado,,-0.498500517826447,-0.498500517826447,0.7189349768335809,0.7189349768335809,0,ALTERNATE,,FRIEND_OF_CROWS,,,e18b2b20-b689-4599-9d63-f1a783927fd2,2841dc8c-b5a2-4b3a-a717-9e646e8e29fc,253,18,0,1,0,14,32,False,2.0,5.0,6,16,15,"['ce0e57a7-89f5-41ea-80f9-6e649dd54089', 'd6c69d2d-9344-4b19-85a4-6cfcbaead5d2']",False,0.7239919864353619,0.5877057782235281,
5,Out,0.6101863180969891,False,0.8584000989910588,1.0491919144029167,0.5101422446539144,0.5028470471471307,0.5539713217328542,0.511391966939865,0.45869509403978853,0.060000000000000005,0.9979096989465742,0.4280486350385403,0.8818432363428376,0.6863239355128756,0.4383500449410565,0.5026955960383966,0.8406476847967972,0.7966535643374562,1.2912121913908101,0.6756178650028889,0.5682517188961022,0.5351777418929591,0.1958296828853719,0.7958675963458282,0.3540831091315421,0.6575507589731819,0.130306564204822,0.5281584438684465,1.0,0.3831222798653009,0.3611222049965442,1.0550982776796136,0.7883434896054193,0.4697873799000158,0.3574882437640168,0.8243509084336476,0.03531115923364157,0.4120714378979918,0.43585408711384377,0.9145739186397338,0.4750013292512435,0.8972336636974658,0.13561317534208178,0.7028721000249472,0.2114634552863908,0.9370163402660108,0.08043517110950116,0.8975485969751937,0.35734406650078576,0.8641315544849647,0.5008043578208707,0.4338281565835245,0.2205836168554054,0.39291584601211,0.23744696149418443,1.0,0.36720822308491896,0.34401741756013005,0.4008794766139743,0.3859339959989805,0.36787865008075454,0.6050124001035256,0.4519595330300567,0.7566629545867662,0.4253079342393487,0.4712119725231586,0.4962028180294879,0.5101363245618917,0.4382990376095283,0.5039366548531963,0.17281881742749683,0.6639973421652847,0.8158177207158404,0,0,Basilio Fig,Kathy Mathews,,0.41922548489089084,0.41922548489089084,0.019661967811711256,0.019661967811711256,0,FIRE_EATER,SUN_KISSED;SUN2_PAYOUTS,ALTERNATE,,,ccfc4dd8-968d-4535-88ce-391cc0c58c89,36b94380-39a6-4e32-b525-3e888215798a,257,1,2,0,1,14,32,False,1.0,2.0,6,10,15,"['6c346d8b-d186-4228-9adb-ae919d7131dd', '27c68d7f-5e40-4afa-8b6f-9df47b79e7dd']",True,0.31140456378452086,0.4753265786014318,
6,DP,0.9881467758182092,True,1.2613275670429303,0.4274539137861463,0.8737541699385161,0.6216750814405206,0.7409683089787114,0.570119660887764,0.8655407860601143,0.001,0.8325854716856268,0.7427616386690545,0.19839225347901532,0.6896500869285658,0.5258654062024429,0.3766434312348995,0.8915040549971025,0.6650416747229091,1.0774450250132768,0.2899604338017408,0.36704677978998357,0.6910462384906211,0.41209169318836514,0.5876325644276553,0.37071745673186157,0.9705030888988613,0.4557744108889843,0.6187237930591268,1.0,0.40114946245625965,0.9134480475627128,0.8519293711657472,1.0546340121873947,0.9258790993110246,0.7596323495882811,0.4063647260552206,0.02131971233603,1.0199242680699834,0.2866430958960934,0.9220981237543506,0.6722927299496521,0.41200811870322235,1.081093604716463,1.0131839009362433,0.32268236754450014,0.5627532652561371,0.5658836360746411,0.35063592847619335,0.8936134404108873,0.46708423659339526,0.5220109359515861,1.0680130108697403,0.2993909363166215,0.36994922097674765,0.4446017574546992,1.0,0.5105236851997712,0.49684987077626996,0.4881712111169081,0.8265248115207252,0.5207225778389548,0.4447289767338998,0.5376439522647619,0.4521598407783409,0.4391837802585088,0.6025859364172551,0.2769749520408473,0.4446314721438908,0.48208876148585916,0.5124500042294067,0.08555768213399326,0.9512551256089801,0.36482701350505886,0,0,Jesús Koch,Shirai McElroy,,-0.13433581507682385,-0.13433581507682385,0.1631813157990046,0.1631813157990046,0,ALTERNATE,HIGH_PRESSURE,,MAINTENANCE_MODE;STALEPOPCORN_PAYOUTS,,c7fb3276-219a-408b-91e9-e0e8ea914140,031670ae-97a5-4215-b1a1-98e9f1de7c50,262,13,0,0,1,14,32,True,1.0,2.0,8,14,14,['dddb6485-0527-4523-9bec-324a5b66bf37'],True,0.3433326628283284,0.6631881990190974,
7,Out,0.1074377731728049,False,0.6454355009960542,1.140926486733289,0.4908644378430588,0.2987598265493482,0.6872024268280875,0.6098355270259417,0.8165052517120421,0.001,1.1349983840357565,0.5149074980727318,0.22981978586037083,0.4796344914491987,1.1904355565765132,0.4075721751310136,0.7705233134634687,0.32932330997059145,0.7648189756177672,0.9751853484590075,0.9866505266528427,0.845143977373554,1.0270315093106437,0.8160734255390216,0.33339563411774853,0.764499265884984,0.8307888080580499,0.7052253984899638,1.0,1.1552823240864345,1.0108591485643532,1.2697993820805185,0.5916338116888625,0.6238719374527941,0.5265680259463004,0.7850486172708355,0.001,1.1312704641092826,0.9094413053561573,0.5564936587517776,1.3067158185789418,0.9375770645568416,1.0369509947228985,0.8046304802263591,1.096310904599184,1.2833181958492814,1.047046611983204,0.511678539607179,0.36288611594808295,0.4290489872007347,0.4480957171596029,0.800663807761201,0.6551219300933132,0.4704999159830534,0.4220673574654016,1.0,0.2015307642533676,0.21784892983798318,0.27063455135869935,0.20895690074295775,0.2669837819416551,0.5972893620004125,0.24014406844576902,0.5888660772611276,0.4066192189800766,0.5052602094603736,0.5441491334505063,0.5180715700940073,0.7884468986774216,0.5757445655057053,0.09475761260271934,0.23527122827375568,0.40194340936812556,0,0,Lance Serotonin,Mummy Melcon,,-0.44678525642104655,-0.44678525642104655,0.053280060980906235,0.053280060980906235,0,,POPCORN_PAYOUTS,,FIREPROOF;SEALANT;AMBUSH,,6173c3f5-f244-405d-b9a3-62fe8c48e656,929fc650-948a-4736-b7a2-bb7b75902e6e,260,10,0,1,0,14,32,True,4.0,6.0,8,15,12,['e2f39815-5291-4dcf-ba19-97dcf0c015e9'],False,0.809525400400338,0.6981822660536333,
8,Out,0.08087490109297835,False,0.5976301744274214,0.30339320386524804,0.3833967507608185,0.6045692983902995,1.0942469589009123,0.001,0.8966211408216371,0.001,0.7273951685310118,0.5433868252532248,0.715832368339349,0.7763430062099727,0.7095078543378381,1.0863604398865214,1.086943284976609,0.37319898881359237,1.1841526507574294,1.070549682627275,1.0768749964847122,0.8143524687140581,0.25870655723357316,1.2289739744479147,0.42090396914474587,0.5896833025574817,0.0038283472010332,1.014911561475742,1.0,1.1552823240864345,1.0108591485643532,1.2697993820805185,0.5916338116888625,0.6238719374527941,0.5265680259463004,0.7850486172708355,0.001,1.1312704641092826,0.9094413053561573,0.5564936587517776,1.3067158185789418,0.9375770645568416,1.0369509947228985,0.8046304802263591,1.096310904599184,1.2833181958492814,1.047046611983204,0.511678539607179,0.36288611594808295,0.4290489872007347,0.4480957171596029,0.800663807761201,0.6551219300933132,0.4704999159830534,0.4220673574654016,1.0,0.2015307642533676,0.21784892983798318,0.27063455135869935,0.20895690074295775,0.2669837819416551,0.5972893620004125,0.24014406844576902,0.5888660772611276,0.4066192189800766,0.5052602094603736,0.5441491334505063,0.5180715700940073,0.7884468986774216,0.5757445655057053,0.09475761260271934,0.9816519611644838,0.6504402376126142,0,0,Engine Eberhardt,Mummy Melcon,,0.25085662996816055,0.25085662996816055,0.053280060980906235,0.053280060980906235,0,,POPCORN_PAYOUTS,,FIREPROOF;SEALANT;AMBUSH,,6173c3f5-f244-405d-b9a3-62fe8c48e656,929fc650-948a-4736-b7a2-bb7b75902e6e,262,10,0,0,1,14,32,True,4.0,6.0,8,15,12,['e2f39815-5291-4dcf-ba19-97dcf0c015e9'],True,0.2914985122659868,0.7388867192609159,
9,Out,0.5665586491955956,False,0.6971262610756495,0.7020640797372739,0.3966974104116525,0.412389646623353,0.8555047087255088,0.01899001754160244,0.4366849030942861,0.1,0.12511838652049204,0.5206432589552515,0.6577806972516701,0.05970740570560651,0.6195089232771588,0.3286333750920514,0.45802583107382666,0.7177414859536136,0.6197090167379584,0.8805954894413824,0.7862511589951982,0.8170152495833378,0.24781382204847,0.6866906411828765,0.07830445734981017,0.26943903602316244,0.12353581218771303,0.16352808179961079,1.0,1.0269987948598533,1.1411064324080926,0.44263611754900034,0.7336822033538852,1.016093097684383,0.08932495483239938,0.8551788470164139,0.001,0.8151037032439786,1.1511856572854078,1.0127958952821163,0.902529421808979,0.9136003609530029,0.8325477380091434,0.3915228720348669,0.798791034852443,1.150148760906093,0.9854986069195857,0.45851493009621797,0.2811078769516771,0.8078530189578786,0.683145715887461,0.7573529623889758,0.35204631841423,0.9224335434501654,0.25178317982860193,1.0,0.841805859782272,0.8977265808830811,0.8438043777292366,0.9687852316148579,0.8834317748311747,0.734028825675743,0.5315151559526681,0.7678385756888914,0.46350321501464753,0.4587333642509046,0.528370617263836,0.5325150816744646,0.48330562996753273,0.5713775790775273,0.10858896506033026,0.28654272496257827,0.1163825835091139,0,0,Nandy Fantast-c,Blood Hamburger,,-0.11936503466677693,-0.11936503466677693,0.2517831798286019,0.2517831798286019,0,FIRST_BORN;MINIMALIST;SCATTERED,BIRD_SEED,FLINCH,TRAVELING,,4163f23d-caf0-496f-b3e8-ef0ef9e0cf61,36ae955c-6264-4437-8669-3053f62992e5,278,18,1,0,1,14,32,True,1.0,3.0,8,13,16,['f38c5d80-093f-46eb-99d6-942aa45cd921'],True,0.26678740869107265,0.6360561185626694,
